This file contains the  votes from the 
WD Smith, JN Quintal, D Greene 
Range- and Approval-voting presidential
pseudo-elections of 2 Nov 2004.

We now explain the data format.

RANGE VOTING (Smith 68 from Port Jefferson Station & East Setauket NY 
         and Greene 54 from Cedarhurst NY):

Each line represents a single vote and is of the 8-entry form
(7 numerical entries and one character-entry):

Bu Ke Na Ba Co Pe Ca YNX

where 
Bu=vote for Bush     (0-100;  and  -1 represents "left it blank")
Ke=vote for Kerry    (0-100;  and  -1 represents "left it blank")
Na=vote for Nader    (0-100;  and  -1 represents "left it blank")
Co=vote for Cobb     (0-100;  and  -1 represents "left it blank")
Pe=vote for Peroutka (0-100;  and  -1 represents "left it blank")
Ca=vote for Calero   (0-100;  and  -1 represents "left it blank")
YNX=one of the three characters {Y,N,X} to indicate that range voting is
respectively  better, worse, or don't know than the present plurality system.

APPROVAL VOTING  (Quintal 656 from Philadelphia PA suburbs mostly in Delaware County):
Same format as range, except for the following changes:
(1) all votes are 0 or 100, intermediate values such as 67 do not occur.
(2) Calero was not a candidate.  Therefore the Ca entry has been replaced with
    the ballot number from 1 to 656 (there were 656 approval votes total).
(3) YNX is for the superiority of approval voting versus plurality.
=================================================================================

656
0 100 100 0 0 0 1 Y
0 100 100 0 0 0 2 Y
0 100 100 0 0 0 3 Y
0 100 100 0 0 0 4 Y
0 100 100 0 0 0 5 Y
0 100 0 0 0 0 6 Y
0 100 0 0 0 0 7 Y
0 100 0 0 0 0 8 Y
0 100 0 0 0 0 9 Y
0 100 0 0 0 0 10 Y
0 100 100 0 0 0 11 Y
0 100 100 0 0 0 12 Y
0 100 100 0 0 0 13 Y
0 100 100 0 0 0 14 Y
0 100 100 0 0 0 15 Y
0 100 100 0 0 0 16 Y
0 100 0 0 0 0 17 Y
0 100 0 0 0 0 18 Y
100 0 0 0 0 0 19 Y
0 100 100 0 0 0 20 Y
100 0 0 0 0 0 21 Y
100 0 0 0 0 0 22 Y
100 0 0 0 0 0 23 Y
100 0 0 0 0 0 24 Y
-1 -1 0 -1 -1 -1 25 Y
0 100 0 0 0 0 26 Y
100 0 0 0 0 0 27 Y
100 0 0 0 0 0 28 Y
-1 -1 0 -1 -1 -1 29 Y
100 0 0 0 0 0 30 Y
0 100 0 0 0 0 31 Y
0 100 0 0 0 0 32 Y
100 0 0 0 0 0 33 Y
100 0 0 0 0 0 34 Y
100 0 0 0 0 0 35 Y
100 0 0 0 0 0 36 Y
100 0 0 0 0 0 37 Y
100 0 0 0 0 0 38 Y
0 100 0 0 0 0 39 Y
0 100 0 0 0 0 40 Y
0 100 0 0 0 0 41 Y
100 0 0 0 0 0 42 Y
-1 -1 0 -1 -1 -1 43 Y
100 0 0 0 0 0 44 Y
100 0 0 0 0 0 45 Y
100 0 0 0 0 0 46 Y
0 100 0 0 0 0 47 Y
100 0 0 0 0 0 48 Y
100 0 0 0 0 0 49 Y
0 100 0 0 0 0 50 Y
0 100 0 0 0 0 51 Y
0 100 0 0 0 0 52 Y
0 100 0 0 0 0 53 Y
0 100 0 0 0 0 54 Y
0 100 0 0 0 0 55 Y
100 0 0 0 0 0 56 Y
0 100 0 0 0 0 57 Y
0 100 0 0 0 0 58 Y
0 100 0 0 0 0 59 Y
0 100 0 0 0 0 60 Y
100 0 0 0 0 0 61 Y
0 100 0 0 0 0 62 Y
0 100 0 0 0 0 63 Y
0 100 0 0 0 0 64 Y
0 100 0 0 0 0 65 Y
100 100 0 0 0 0 66 Y
-1 -1 0 -1 -1 -1 67 Y
100 0 0 0 0 0 68 Y
0 100 0 0 0 0 69 Y
0 100 0 0 0 0 70 Y
100 0 0 0 0 0 71 Y
100 0 0 0 0 0 72 Y
-1 -1 0 -1 -1 -1 73 Y
0 100 0 0 0 0 74 Y
0 100 0 0 0 0 75 Y
0 100 0 0 0 0 76 Y
