Riding No.,Riding Name,Political Affiliation,Last Name,First Name,Middle Name
10001,Bonavista--Trinity--Conception,Canadian Alliance,Dawe,Randy,Wayne
10001,Bonavista--Trinity--Conception,N.D.P.,March,Fraser,
10001,Bonavista--Trinity--Conception,Progressive Conservative,Morgan,Jim,
10001,Bonavista--Trinity--Conception,Liberal,Tobin,Brian,
10002,Burin--St. George's,Canadian Alliance,Fenwick,Peter,
10002,Burin--St. George's,Liberal,Matthews,Bill,
10002,Burin--St. George's,Progressive Conservative,Pottle,Fred,
10002,Burin--St. George's,N.D.P.,Sullivan,David,
10002,Burin--St. George's,No Affiliation,Synard,Sam,
10003,Gander--Grand Falls,Liberal,Baker,George,
10003,Gander--Grand Falls,N.D.P.,Broderick,Bill,
10003,Gander--Grand Falls,Canadian Alliance,Penney,Orville,
10003,Gander--Grand Falls,Progressive Conservative,Pike,Roger,K.
10004,Humber--St. Barbe--Baie Verte,Liberal,Byrne,Gerry,
10004,Humber--St. Barbe--Baie Verte,Canadian Alliance,Cole,Murdock,
10004,Humber--St. Barbe--Baie Verte,Progressive Conservative,McBreairty,Peter,
10004,Humber--St. Barbe--Baie Verte,N.D.P.,Taylor,Trevor,
10005,Labrador,Progressive Conservative,Broomfield,Hayward,
10005,Labrador,Canadian Alliance,Burt,Eugene,
10005,Labrador,Liberal,O'Brien,Lawrence,
10005,Labrador,N.D.P.,Will,Amanda,
10006,St. John's East,N.D.P.,Cantwell,Carol,
10006,St. John's East,Independent,Day,Judy,
10006,St. John's East,Progressive Conservative,Doyle,Norman,E.
10006,St. John's East,Canadian Alliance,Hartle,Garry,
10006,St. John's East,Liberal,Miller,Peter,
10006,St. John's East,Natural Law Party,Rayment,Michael,
10007,St. John's West,N.D.P.,Curtis,Dave,
10007,St. John's West,Canadian Alliance,Drost,Eldon,
10007,St. John's West,Liberal,Furey,Chuck,
10007,St. John's West,Progressive Conservative,Hearn,Loyola,
10007,St. John's West,Natural Law Party,Rendell,Michael,
11001,Cardigan,Canadian Alliance,Hickox,Darrell,
11001,Cardigan,N.D.P.,Kelly Hawkes,Deborah,
11001,Cardigan,Progressive Conservative,MacAdam,Kevin,
11001,Cardigan,Liberal,MacAulay,Lawrence,
11002,Egmont,Progressive Conservative,Griffin,John,
11002,Egmont,Liberal,McGuire,Joe,
11002,Egmont,Canadian Alliance,Sullivan,Jeff,
11002,Egmont,N.D.P.,Wallace,Nancy,
11003,Hillsborough,Natural Law Party,Cameron,Peter,
11003,Hillsborough,N.D.P.,Crane,Dody,
11003,Hillsborough,No Affiliation,Judson,Baird,
11003,Hillsborough,Liberal,Murphy,Shawn,
11003,Hillsborough,Progressive Conservative,Peters,Darren,W.
11003,Hillsborough,Canadian Alliance,Stewart,Gerry,
11004,Malpeque,N.D.P.,Bingham,Ken,
11004,Malpeque,Liberal,Easter,Wayne,
11004,Malpeque,Progressive Conservative,Gorman,Jim,
11004,Malpeque,Green Party,Stiles,Jeremy,
11004,Malpeque,Canadian Alliance,Wall,Chris,
12001,Bras d'Or--Cape Breton,Canadian Alliance,Currie,John,M.
12001,Bras d'Or--Cape Breton,Liberal,Cuzner,Rodger,
12001,Bras d'Or--Cape Breton,N.D.P.,Dockrill,Michelle,
12001,Bras d'Or--Cape Breton,Progressive Conservative,MacLeod,Alfie,
12002,Cumberland--Colchester,Liberal,Brushett,Dianne,
12002,Cumberland--Colchester,Progressive Conservative,Casey,Bill,
12002,Cumberland--Colchester,N.D.P.,Harpell,James,Arthur
12002,Cumberland--Colchester,Canadian Alliance,Ryan,Bryden,
12003,Dartmouth,Liberal,Boudreau,Bernie,
12003,Dartmouth,N.D.P.,Lill,Wendy,
12003,Dartmouth,Progressive Conservative,McInnis,Tom,
12003,Dartmouth,Canadian Alliance,Morgan,Jordi,
12003,Dartmouth,Marxist-Leninist,Spurr,Charles,
12004,Halifax,Canadian Alliance,Boyer,Amery,
12004,Halifax,Marxist-Leninist,Corkill,Kevin,Dumont
12004,Halifax,Progressive Conservative,Fitzgibbons,Paul,
12004,Halifax,Liberal,Little,Kevin,
